# Omega Rho_mean
3.797595190380761210e+00 9.929891156985265477e-02
3.807615230460921651e+00 9.988850834759004094e-02
3.817635270541082093e+00 1.004854229686533984e-01
3.827655310621242535e+00 1.010895846819217792e-01
3.837675350701402532e+00 1.017009227104653107e-01
3.847695390781562974e+00 1.023193662212043414e-01
3.857715430861723416e+00 1.029448442935553126e-01
3.867735470941883413e+00 1.035772858932709900e-01
3.877755511022043855e+00 1.042166198442966152e-01
3.887775551102204297e+00 1.048627748049662523e-01
3.897795591182364738e+00 1.055156792432813267e-01
3.907815631262524736e+00 1.061752614210536155e-01
3.917835671342685178e+00 1.068414493646915042e-01
3.927855711422845619e+00 1.075141708532852680e-01
3.937875751503006061e+00 1.081933533995372426e-01
3.947895791583166059e+00 1.088789242332846852e-01
3.957915831663326500e+00 1.095708102864309669e-01
3.967935871743486942e+00 1.102689381793121454e-01
3.977955911823646939e+00 1.109732342116138970e-01
3.987975951903807381e+00 1.116836243474957635e-01
3.997995991983967823e+00 1.124000342103507188e-01
4.008016032064127820e+00 1.131223890704060875e-01
4.018036072144288262e+00 1.138506138396166573e-01
4.028056112224448704e+00 1.145846330636044463e-01
4.038076152304609145e+00 1.153243709219765323e-01
4.048096192384769587e+00 1.160697512160708544e-01
4.058116232464930029e+00 1.168206973727418108e-01
4.068136272545089582e+00 1.175771324408474150e-01
4.078156312625250024e+00 1.183389790886573423e-01
4.088176352705410466e+00 1.191061596054524829e-01
4.098196392785570907e+00 1.198785958999422918e-01
4.108216432865731349e+00 1.206562095085778746e-01
4.118236472945891791e+00 1.214389215911619857e-01
4.128256513026052232e+00 1.222266529345241853e-01
4.138276553106212674e+00 1.230193239661472593e-01
4.148296593186372228e+00 1.238168547484670007e-01
4.158316633266532669e+00 1.246191649889245578e-01
4.168336673346693111e+00 1.254261740490668631e-01
4.178356713426853553e+00 1.262378009503384302e-01
4.188376753507013994e+00 1.270539643782956363e-01
4.198396793587174436e+00 1.278745827006024516e-01
4.208416833667334878e+00 1.286995739638944203e-01
4.218436873747494431e+00 1.295288559172060594e-01
4.228456913827654873e+00 1.303623460128044698e-01
4.238476953907815314e+00 1.311999614217223553e-01
4.248496993987975756e+00 1.320416190442969817e-01
4.258517034068136198e+00 1.328872355222820156e-01
4.268537074148296639e+00 1.337367272540163909e-01
4.278557114228457081e+00 1.345900104017048460e-01
4.288577154308616635e+00 1.354470009144062292e-01
4.298597194388777076e+00 1.363076145342299872e-01
4.308617234468937518e+00 1.371717668125247425e-01
4.318637274549097960e+00 1.380393731268706736e-01
4.328657314629258401e+00 1.389103486942989685e-01
4.338677354709418843e+00 1.397846085900720514e-01
4.348697394789579285e+00 1.406620677575207701e-01
4.358717434869739726e+00 1.415426410320074213e-01
4.368737474949899280e+00 1.424262431487099689e-01
4.378757515030059722e+00 1.433127887684811363e-01
4.388777555110220163e+00 1.442021924868463201e-01
4.398797595190380605e+00 1.450943688562691958e-01
4.408817635270541047e+00 1.459892323984923745e-01
4.418837675350701488e+00 1.468866976311062056e-01
4.428857715430861930e+00 1.477866790725930468e-01
4.438877755511021483e+00 1.486890912694074363e-01
4.448897795591181925e+00 1.495938488112206199e-01
4.458917835671342367e+00 1.505008663487658882e-01
4.468937875751502808e+00 1.514100586105431856e-01
4.478957915831663250e+00 1.523213404224428580e-01
4.488977955911823692e+00 1.532346267236064652e-01
4.498997995991984133e+00 1.541498325901537736e-01
4.509018036072143687e+00 1.550668732443238051e-01
4.519038076152304129e+00 1.559856640834443586e-01
4.529058116232464570e+00 1.569061206860196123e-01
4.539078156312625012e+00 1.578281588382514922e-01
4.549098196392785454e+00 1.587516945497882137e-01
4.559118236472945895e+00 1.596766440725072844e-01
4.569138276553106337e+00 1.606029239137036213e-01
4.579158316633266779e+00 1.615304508563865649e-01
4.589178356713426332e+00 1.624591419837288497e-01
4.599198396793586774e+00 1.633889146820982630e-01
