#w	rho	error	jackknife1	jackknife2	jackknife3	jackknife4	jackknife5	jackknife6	jackknife7	jackknife8	jackknife9	jackknife10
1.161161	5.913071e-02	7.789487e-04	5.935736e-02	5.929202e-02	5.912416e-02	5.918434e-02	5.906959e-02	5.849425e-02	5.921881e-02	5.945668e-02	5.888239e-02	5.922754e-02
1.171171	6.027742e-02	7.896930e-04	6.050809e-02	6.044083e-02	6.026453e-02	6.034041e-02	6.021735e-02	5.963460e-02	6.036403e-02	6.061321e-02	6.002472e-02	6.036641e-02
1.181181	6.143007e-02	8.002379e-04	6.166475e-02	6.159547e-02	6.141071e-02	6.150256e-02	6.137104e-02	6.078141e-02	6.151504e-02	6.177565e-02	6.117310e-02	6.151096e-02
1.191191	6.258827e-02	8.105784e-04	6.282694e-02	6.275551e-02	6.256232e-02	6.267039e-02	6.253027e-02	6.193429e-02	6.267146e-02	6.294360e-02	6.232713e-02	6.266078e-02
1.201201	6.375161e-02	8.207103e-04	6.399426e-02	6.392056e-02	6.371894e-02	6.384348e-02	6.369461e-02	6.309285e-02	6.383286e-02	6.411665e-02	6.348642e-02	6.381547e-02
1.211211	6.491968e-02	8.306304e-04	6.516628e-02	6.509020e-02	6.488017e-02	6.502142e-02	6.486365e-02	6.425669e-02	6.499884e-02	6.529438e-02	6.465057e-02	6.497462e-02
1.221221	6.609207e-02	8.403364e-04	6.634260e-02	6.626401e-02	6.604560e-02	6.620380e-02	6.603700e-02	6.542540e-02	6.616898e-02	6.647637e-02	6.581915e-02	6.613782e-02
1.231231	6.726837e-02	8.498270e-04	6.752280e-02	6.744158e-02	6.721481e-02	6.739019e-02	6.721422e-02	6.659859e-02	6.734287e-02	6.766219e-02	6.699176e-02	6.730466e-02
1.241241	6.844815e-02	8.591019e-04	6.870645e-02	6.862248e-02	6.838738e-02	6.858017e-02	6.839489e-02	6.777585e-02	6.852010e-02	6.885144e-02	6.816799e-02	6.847472e-02
1.251251	6.963099e-02	8.681618e-04	6.989313e-02	6.980629e-02	6.956291e-02	6.977332e-02	6.957861e-02	6.895676e-02	6.970023e-02	7.004367e-02	6.934743e-02	6.964758e-02
