# mean_total_loss mean_main_loss mean_smoothness_loss mean_l2_loss
1.653156352000000000e+09 2.911877036094665527e-01 2.931305207312107086e-02 1.653156352000000000e+09
1.652064000000000000e+09 2.939449846744537354e-01 2.931117825210094452e-02 1.652064000000000000e+09
1.650981248000000000e+09 2.967182695865631104e-01 2.930928021669387817e-02 1.650981248000000000e+09
1.649854848000000000e+09 2.994613945484161377e-01 2.930737473070621490e-02 1.649854848000000000e+09
1.648787584000000000e+09 3.022443056106567383e-01 2.930534631013870239e-02 1.648787584000000000e+09
1.647790080000000000e+09 3.050189018249511719e-01 2.930318005383014679e-02 1.647790080000000000e+09
1.646811008000000000e+09 3.078107535839080811e-01 2.930117398500442505e-02 1.646811008000000000e+09
1.645767040000000000e+09 3.105879426002502441e-01 2.929915487766265869e-02 1.645767040000000000e+09
1.644820352000000000e+09 3.134032189846038818e-01 2.929724566638469696e-02 1.644820352000000000e+09
1.643700608000000000e+09 3.161744773387908936e-01 2.929534018039703369e-02 1.643700608000000000e+09
1.642797696000000000e+09 3.190061748027801514e-01 2.929350920021533966e-02 1.642797696000000000e+09
1.641839232000000000e+09 3.218328356742858887e-01 2.929165773093700409e-02 1.641839232000000000e+09
1.640881536000000000e+09 3.246727883815765381e-01 2.929008752107620239e-02 1.640881536000000000e+09
1.640000640000000000e+09 3.275136947631835938e-01 2.928829938173294067e-02 1.640000640000000000e+09
1.639030272000000000e+09 3.303490579128265381e-01 2.928720042109489441e-02 1.639030272000000000e+09
1.638227712000000000e+09 3.332422077655792236e-01 2.928638458251953125e-02 1.638227712000000000e+09
1.637089792000000000e+09 3.359697759151458740e-01 2.928576990962028503e-02 1.637089792000000000e+09
1.636105216000000000e+09 3.387769460678100586e-01 2.928628027439117432e-02 1.636105216000000000e+09
1.635385216000000000e+09 3.416781127452850342e-01 2.928720787167549133e-02 1.635385216000000000e+09
1.634515328000000000e+09 3.445318639278411865e-01 2.928794734179973602e-02 1.634515328000000000e+09
1.633702784000000000e+09 3.473877310752868652e-01 2.928913384675979614e-02 1.633702784000000000e+09
1.632987008000000000e+09 3.502958118915557861e-01 2.929020673036575317e-02 1.632987008000000000e+09
1.632168704000000000e+09 3.531636297702789307e-01 2.929151989519596100e-02 1.632168704000000000e+09
1.631425536000000000e+09 3.560495972633361816e-01 2.929268963634967804e-02 1.631425536000000000e+09
1.630775808000000000e+09 3.589636385440826416e-01 2.929387614130973816e-02 1.630775808000000000e+09
1.630033792000000000e+09 3.618633151054382324e-01 2.929499559104442596e-02 1.630033792000000000e+09
1.629499392000000000e+09 3.647869229316711426e-01 2.929626591503620148e-02 1.629499392000000000e+09
1.628876416000000000e+09 3.676744401454925537e-01 2.929724752902984619e-02 1.628876416000000000e+09
1.628175360000000000e+09 3.705710470676422119e-01 2.929827384650707245e-02 1.628175360000000000e+09
1.627551616000000000e+09 3.734824061393737793e-01 2.929925732314586639e-02 1.627551616000000000e+09
1.626883840000000000e+09 3.763685822486877441e-01 2.930024079978466034e-02 1.626883840000000000e+09
1.626294656000000000e+09 3.792524933815002441e-01 2.930163592100143433e-02 1.626294656000000000e+09
1.625674624000000000e+09 3.821943700313568115e-01 2.930306643247604370e-02 1.625674624000000000e+09
1.625170048000000000e+09 3.851286172866821289e-01 2.930450625717639923e-02 1.625170048000000000e+09
1.624701440000000000e+09 3.880732059478759766e-01 2.930589951574802399e-02 1.624701440000000000e+09
1.624163456000000000e+09 3.910086750984191895e-01 2.930702455341815948e-02 1.624163456000000000e+09
1.623693696000000000e+09 3.939704298973083496e-01 2.930821292102336884e-02 1.623693696000000000e+09
1.623305216000000000e+09 3.969744741916656494e-01 2.930916659533977509e-02 1.623305216000000000e+09
1.622817536000000000e+09 3.999513387680053711e-01 2.931071072816848755e-02 1.622817536000000000e+09
1.622374912000000000e+09 4.029073715209960938e-01 2.931249886751174927e-02 1.622374912000000000e+09
1.622059392000000000e+09 4.059266746044158936e-01 2.931407652795314789e-02 1.622059392000000000e+09
1.621680128000000000e+09 4.089367091655731201e-01 2.931592054665088654e-02 1.621680128000000000e+09
1.621340928000000000e+09 4.119639098644256592e-01 2.931771799921989441e-02 1.621340928000000000e+09
1.621040512000000000e+09 4.150063395500183105e-01 2.931931801140308380e-02 1.621040512000000000e+09
1.620635648000000000e+09 4.179904162883758545e-01 2.932108379900455475e-02 1.620635648000000000e+09
1.620269952000000000e+09 4.209996759891510010e-01 2.932276017963886261e-02 1.620269952000000000e+09
1.620007552000000000e+09 4.240275621414184570e-01 2.932456322014331818e-02 1.620007552000000000e+09
1.619599872000000000e+09 4.270149469375610352e-01 2.932680398225784302e-02 1.619599872000000000e+09
1.619235584000000000e+09 4.299943745136260986e-01 2.932981215417385101e-02 1.619235584000000000e+09
1.619067264000000000e+09 4.330839216709136963e-01 2.933310717344284058e-02 1.619067264000000000e+09
1.618772224000000000e+09 4.361316561698913574e-01 2.933631651103496552e-02 1.618772224000000000e+09
1.618336384000000000e+09 4.391235113143920898e-01 2.933941781520843506e-02 1.618336384000000000e+09
1.618235776000000000e+09 4.422298669815063477e-01 2.934251911938190460e-02 1.618235776000000000e+09
1.617895424000000000e+09 4.452693164348602295e-01 2.934537641704082489e-02 1.617895424000000000e+09
1.617628800000000000e+09 4.483241736888885498e-01 2.934803254902362823e-02 1.617628800000000000e+09
1.617339520000000000e+09 4.514158070087432861e-01 2.935076504945755005e-02 1.617339520000000000e+09
1.617035136000000000e+09 4.544652402400970459e-01 2.935348823666572571e-02 1.617035136000000000e+09
1.616859392000000000e+09 4.575603008270263672e-01 2.935685031116008759e-02 1.616859392000000000e+09
1.616685056000000000e+09 4.606605768203735352e-01 2.936025895178318024e-02 1.616685056000000000e+09
1.616438912000000000e+09 4.637628793716430664e-01 2.936349995434284210e-02 1.616438912000000000e+09
1.615983232000000000e+09 4.667926132678985596e-01 2.936694212257862091e-02 1.615983232000000000e+09
1.615848448000000000e+09 4.699238836765289307e-01 2.937030605971813202e-02 1.615848448000000000e+09
1.615662336000000000e+09 4.730376303195953369e-01 2.937361970543861389e-02 1.615662336000000000e+09
1.615328128000000000e+09 4.761044085025787354e-01 2.937685325741767883e-02 1.615328128000000000e+09
1.615169664000000000e+09 4.792746901512145996e-01 2.938018366694450378e-02 1.615169664000000000e+09
1.614926336000000000e+09 4.824122190475463867e-01 2.938413433730602264e-02 1.614926336000000000e+09
1.614900480000000000e+09 4.855498671531677246e-01 2.938806265592575073e-02 1.614900480000000000e+09
1.614696576000000000e+09 4.887118041515350342e-01 2.939211018383502960e-02 1.614696576000000000e+09
1.614509696000000000e+09 4.918282032012939453e-01 2.939595095813274384e-02 1.614509696000000000e+09
1.614495616000000000e+09 4.950441122055053711e-01 2.939976193010807037e-02 1.614495616000000000e+09
1.614480768000000000e+09 4.982288181781768799e-01 2.940365113317966461e-02 1.614480768000000000e+09
1.614574464000000000e+09 5.014685988426208496e-01 2.940749935805797577e-02 1.614574464000000000e+09
1.614133504000000000e+09 5.045156478881835938e-01 2.941128052771091461e-02 1.614133504000000000e+09
1.614212736000000000e+09 5.077328681945800781e-01 2.941523678600788116e-02 1.614212736000000000e+09
1.614209024000000000e+09 5.109228491783142090e-01 2.941931597888469696e-02 1.614209024000000000e+09
1.614242560000000000e+09 5.141599178314208984e-01 2.942326478660106659e-02 1.614242560000000000e+09
1.614202624000000000e+09 5.173867344856262207e-01 2.942718192934989929e-02 1.614202624000000000e+09
1.614246272000000000e+09 5.205868482589721680e-01 2.943123131990432739e-02 1.614246272000000000e+09
1.614510720000000000e+09 5.238299369812011719e-01 2.943518385291099548e-02 1.614510720000000000e+09
1.614755200000000000e+09 5.271227359771728516e-01 2.943941392004489899e-02 1.614755200000000000e+09
1.615071360000000000e+09 5.304033160209655762e-01 2.944339439272880554e-02 1.615071360000000000e+09
1.615298688000000000e+09 5.336477756500244141e-01 2.944756299257278442e-02 1.615298688000000000e+09
1.615547136000000000e+09 5.369054675102233887e-01 2.945173718035221100e-02 1.615547136000000000e+09
1.615833216000000000e+09 5.401421785354614258e-01 2.945579215884208679e-02 1.615833216000000000e+09
1.616268544000000000e+09 5.434378385543823242e-01 2.946006320416927338e-02 1.616268544000000000e+09
1.616761728000000000e+09 5.467290282249450684e-01 2.946427650749683380e-02 1.616761728000000000e+09
1.617240320000000000e+09 5.500166416168212891e-01 2.946853451430797577e-02 1.617240320000000000e+09
1.617573120000000000e+09 5.532487034797668457e-01 2.947282977402210236e-02 1.617573120000000000e+09
1.618211712000000000e+09 5.565816760063171387e-01 2.947759442031383514e-02 1.618211712000000000e+09
1.618595968000000000e+09 5.598374605178833008e-01 2.948235720396041870e-02 1.618595968000000000e+09
1.618623744000000000e+09 5.629660487174987793e-01 2.948678657412528992e-02 1.618623744000000000e+09
1.619135488000000000e+09 5.662413835525512695e-01 2.949142642319202423e-02 1.619135488000000000e+09
1.619538688000000000e+09 5.694811940193176270e-01 2.949582785367965698e-02 1.619538688000000000e+09
1.619904896000000000e+09 5.727009177207946777e-01 2.950048260390758514e-02 1.619904896000000000e+09
1.620509056000000000e+09 5.759804844856262207e-01 2.950491197407245636e-02 1.620509056000000000e+09
1.620988032000000000e+09 5.792514085769653320e-01 2.950954623520374298e-02 1.620988032000000000e+09
1.621637760000000000e+09 5.825406312942504883e-01 2.951394207775592804e-02 1.621637760000000000e+09
1.622131840000000000e+09 5.858020186424255371e-01 2.951846830546855927e-02 1.622131840000000000e+09
1.622745088000000000e+09 5.890908241271972656e-01 2.952276542782783508e-02 1.622745088000000000e+09
1.623162368000000000e+09 5.923348665237426758e-01 2.952705696225166321e-02 1.623162368000000000e+09
1.623748992000000000e+09 5.956803560256958008e-01 2.953134849667549133e-02 1.623748992000000000e+09
1.623918208000000000e+09 5.988699793815612793e-01 2.953563444316387177e-02 1.623918208000000000e+09
1.624190720000000000e+09 6.020439863204956055e-01 2.954005450010299683e-02 1.624190720000000000e+09
1.624605952000000000e+09 6.052771806716918945e-01 2.954448387026786804e-02 1.624605952000000000e+09
1.624948608000000000e+09 6.085105538368225098e-01 2.954901568591594696e-02 1.624948608000000000e+09
1.625564672000000000e+09 6.117783784866333008e-01 2.955342084169387817e-02 1.625564672000000000e+09
